pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p204824	0.08393	-0.00600	-0.03041	0.05993	0.09619	0.16257	-0.07668	0.05282	-0.29129	0.11283	-0.14964	-0.09595	0.09125	-0.03015	-0.05627	0.01496	0.14741	-0.06786	-0.16518	-0.03753	-0.15238	-0.10854	-0.09848	0.11564	-0.08298	-0.14723	0.05709	0.13934	0.05650	0.04448	-0.02797	0.21525	(And (Agent $e0 $x0) (GroupOf $x1 view) (Theme $e0 $x1) (Theme $e0 $x2))
p204827	0.21505	-0.04081	0.00533	-0.10623	-0.32324	-0.10350	-0.04971	-0.04423	0.21407	-0.41421	-0.10851	-0.01594	-0.07644	0.03584	-0.17051	-0.02206	0.27749	-0.07854	0.00964	0.03522	0.18663	0.01806	-0.05987	0.06785	0.01794	0.01942	-0.04462	0.03184	0.02817	-0.00221	0.01024	0.22792	(And (Agent $e0 $x0) (Location $e0 $x1) (Past $e1) (Theme $e1 $e0))
p204829	-0.08736	-0.00626	-0.01254	0.02368	0.04905	-0.01646	-0.02943	-0.00604	0.06886	0.08358	0.00192	0.05491	-0.01450	-0.03971	0.00075	-0.02395	-0.11719	-0.02492	-0.06693	0.06281	0.04704	-0.01850	-0.01079	-0.04002	0.01405	0.06597	-0.01820	0.03404	0.06304	-0.05585	-0.06006	0.11856	(And (Agent $e0 $x0) (Location $e0 eskisehir) (Member $e0 build) (Member $x0 company))
p204830	-0.08736	-0.00626	-0.01254	0.02368	0.04905	-0.01646	-0.02943	-0.00604	0.06886	0.08358	0.00192	0.05491	-0.01450	-0.03971	0.00075	-0.02395	-0.11719	-0.02492	-0.06693	0.06281	0.04704	-0.01850	-0.01079	-0.04002	0.01405	0.06597	-0.01820	0.03404	0.06304	-0.05585	-0.06006	0.11856	(And (Agent $e0 $x0) (Location $e0 eskisehir) (Member $x0 company) (Past $e0))
p204831	-0.08735	-0.00624	-0.01252	0.02369	0.04907	-0.01644	-0.02942	-0.00602	0.06888	0.08360	0.00194	0.05493	-0.01449	-0.03969	0.00077	-0.02393	-0.11717	-0.02490	-0.06692	0.06283	0.04705	-0.01848	-0.01078	-0.04000	0.01407	0.06599	-0.01818	0.03406	0.06305	-0.05583	-0.06004	0.11857	(And (Agent $e0 $x0) (Location $e0 eskisehir) (Member $x0 company) (Patient $e0 $x1))
p204832	-0.08721	-0.00608	-0.01237	0.02385	0.04922	-0.01629	-0.02926	-0.00587	0.06903	0.08376	0.00209	0.05508	-0.01432	-0.03954	0.00093	-0.02378	-0.11704	-0.02475	-0.06675	0.06299	0.04719	-0.01832	-0.01062	-0.03985	0.01423	0.06615	-0.01802	0.03423	0.06320	-0.05567	-0.05988	0.11872	(And (Agent $e0 $x0) (Location $e0 eskisehir) (Member $x1 hotel) (Patient $e0 $x1))
p204833	0.21505	-0.04081	0.00533	-0.10623	-0.32324	-0.10350	-0.04971	-0.04423	0.21407	-0.41421	-0.10851	-0.01594	-0.07644	0.03584	-0.17051	-0.02206	0.27749	-0.07854	0.00964	0.03522	0.18664	0.01806	-0.05987	0.06785	0.01794	0.01942	-0.04462	0.03184	0.02817	-0.00221	0.01024	0.22792	(And (Agent $e0 $x0) (Location $e1 $x1) (Past $e0) (Theme $e0 $e1))
p204834	0.21505	-0.04081	0.00533	-0.10623	-0.32324	-0.10350	-0.04971	-0.04423	0.21407	-0.41421	-0.10851	-0.01594	-0.07644	0.03584	-0.17051	-0.02206	0.27749	-0.07854	0.00964	0.03522	0.18663	0.01806	-0.05987	0.06785	0.01794	0.01942	-0.04462	0.03184	0.02817	-0.00221	0.01024	0.22792	(And (Agent $e0 $x0) (Location $e1 $x1) (Patient $e1 $x2) (Theme $e0 $e1))
p204836	-0.00063	-0.03859	0.00679	0.02127	0.00127	0.04992	0.02058	0.00499	-0.01501	-0.04743	-0.00086	-0.02063	-0.01723	0.00515	0.02193	0.03689	-0.02171	0.01208	-0.00019	-0.02706	0.02455	0.06557	-0.02221	0.00605	0.01113	-0.03708	-0.04753	0.08548	-0.04990	-0.03980	-0.00812	0.02116	(And (Agent $e0 $x0) (Member $e0 write) (Member $x0 person) (Past $e0))
p204837	-0.00062	-0.03859	0.00679	0.02127	0.00125	0.04993	0.02057	0.00500	-0.01499	-0.04744	-0.00085	-0.02063	-0.01723	0.00516	0.02194	0.03689	-0.02167	0.01207	-0.00017	-0.02706	0.02455	0.06557	-0.02221	0.00605	0.01115	-0.03707	-0.04752	0.08548	-0.04991	-0.03978	-0.00812	0.02115	(And (Agent $e0 $x0) (Member $e0 write) (Member $x0 person) (Patient $e0 $x1))
