pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	w16	w17	w18	w19	w20	w21	w22	w23	w24	w25	w26	w27	w28	w29	w30	w31	query
p201673	-0.00870	-0.01353	0.03712	-0.01267	0.07686	-0.00951	-0.01248	-0.00245	-0.03117	-0.02618	0.00825	-0.02659	0.00205	-0.02626	0.09646	0.00106	0.02720	0.00623	0.04157	-0.00762	-0.03992	-0.02045	-0.00735	-0.01714	-0.00269	0.00437	0.03878	-0.03913	-0.00670	0.03735	0.05417	-0.00846	(And (Goal $e0 $x0) (Past $e0) (Theme $e0 $x1))
p201674	0.01460	-0.05960	-0.00304	-0.01389	0.10006	-0.05414	0.00953	0.11652	-0.02916	0.09085	0.01494	-0.01176	-0.01603	-0.02341	-0.03392	-0.00371	0.01153	-0.11278	-0.00684	-0.02430	0.03834	0.09636	-0.02667	-0.04904	-0.00816	-0.03410	0.03552	0.08566	0.03828	0.09751	-0.05163	0.01313	(And (Holder $e0 $x0) (Member $e0 have) (Past $e0))
p201675	0.01460	-0.05960	-0.00304	-0.01389	0.10006	-0.05414	0.00953	0.11652	-0.02916	0.09085	0.01494	-0.01176	-0.01603	-0.02341	-0.03392	-0.00371	0.01153	-0.11278	-0.00684	-0.02430	0.03834	0.09636	-0.02667	-0.04904	-0.00816	-0.03410	0.03552	0.08566	0.03828	0.09751	-0.05163	0.01313	(And (Holder $e0 $x0) (Past $e0) (Theme $e0 $x1))
p201676	-0.01740	-0.03524	-0.01992	0.00703	-0.02533	0.01175	-0.00084	-0.00707	-0.04612	-0.00671	-0.04760	-0.02978	-0.01073	-0.03062	0.00960	-0.02248	0.00415	-0.01070	-0.00192	-0.00433	-0.02657	0.04908	-0.02066	0.00049	-0.01422	-0.00052	0.01501	-0.00784	-0.00409	0.05686	0.01528	-0.00447	(And (Member $e0 capture) (Past $e0) (Theme $e0 $x0))
p201677	-0.01194	0.02949	0.01937	-0.02026	-0.02771	0.05729	-0.02989	-0.01452	-0.02043	0.00218	-0.03163	-0.02389	-0.05245	-0.02436	0.00538	-0.01447	0.06952	-0.00685	-0.03657	-0.01466	0.01041	-0.05672	0.11697	-0.04553	0.10347	0.00691	-0.02595	0.05079	0.02001	-0.00120	-0.06337	-0.02409	(And (Member $e0 fall) (Past $e0) (Patient $e0 $x0))
p201678	0.00857	-0.02717	0.03583	-0.01012	-0.02481	-0.01251	0.00079	-0.00854	0.04314	-0.00920	-0.00499	0.00910	-0.01399	0.03297	-0.01096	-0.04009	0.03487	-0.00463	-0.02566	0.00107	-0.01984	-0.01563	-0.02986	0.01710	-0.01478	-0.01218	-0.00882	0.01762	-0.02158	0.02674	0.03151	0.01626	(And (Member $e0 kill) (Past $e0) (Patient $e0 $x0))
p201679	0.06310	-0.05172	0.14316	0.05986	-0.06086	0.04700	-0.02751	0.02145	-0.12093	-0.01776	-0.02931	-0.03892	0.05566	-0.02276	-0.03582	-0.02229	0.04904	0.04805	-0.06844	-0.03072	0.02580	-0.02011	-0.02752	-0.00709	0.00426	-0.00505	-0.00999	-0.05741	0.08177	-0.03071	-0.05388	-0.03755	(And (Member $e0 make) (Past $e0) (Patient $e0 $x0))
p201680	0.10473	-0.05196	-0.07012	0.00888	0.07400	-0.05066	0.02444	0.00287	0.02211	-0.00339	-0.02300	0.01316	0.03704	-0.04198	-0.05850	0.00946	0.02018	0.09100	-0.04389	-0.06606	-0.03118	0.08263	0.06259	0.04095	0.13744	0.01605	0.06759	-0.06318	-0.06737	-0.03244	-0.04088	-0.00191	(And (Member $e0 start) (Past $e0) (Patient $e0 $x0))
p201681	-0.02837	-0.03873	0.06660	-0.01398	0.04395	0.05776	0.12889	0.00012	0.02866	0.00262	0.05956	0.01972	-0.07184	0.05605	-0.00155	-0.06435	-0.04541	-0.04259	0.06295	-0.07577	-0.01621	-0.09533	0.16575	0.11315	-0.13323	0.11142	0.06867	0.03920	0.00735	-0.03602	-0.13797	0.06379	(And (Member $e0 try) (Past $e0) (Theme $e0 $e1))
p201728	0.03434	-0.01365	0.01063	-0.00204	0.01689	0.01727	0.00161	-0.00834	0.02299	0.01650	0.00950	0.01045	-0.01852	0.00921	-0.02414	-0.01080	-0.02050	0.03546	-0.00430	-0.01516	0.00497	-0.00264	-0.00302	-0.03595	0.02697	-0.01939	-0.00604	0.00437	-0.00792	0.00819	0.03210	0.05246	(And (Agent $e0 $x0) (Can $e0))
p201729	-0.07062	-0.05586	0.06366	-0.00081	0.04632	-0.01089	0.02061	-0.01901	-0.05162	0.01256	0.02787	0.00139	0.01874	0.01067	-0.00009	-0.03851	-0.00362	0.06502	-0.10246	0.09246	-0.03968	-0.05223	-0.04415	-0.06814	0.10431	-0.01868	0.00254	0.11206	0.01792	-0.03105	-0.00820	-0.12209	(And (Agent $e0 $x0) (Cardinality $x0 <num>))
p201730	0.00760	-0.02834	0.00725	-0.01506	-0.02227	0.00534	0.00673	-0.00154	0.01369	-0.01450	-0.03471	-0.00708	0.01357	0.02282	0.01914	-0.01582	0.01472	-0.01654	0.01719	0.01004	-0.02471	0.01475	-0.02655	0.00348	-0.01545	0.01323	-0.02138	-0.00452	-0.00894	0.00004	-0.02729	0.00799	(And (Agent $e0 $x0) (Member $e0 cause))
p201731	0.00058	0.02741	-0.06950	0.02153	0.03998	0.02307	-0.00433	0.07872	0.09064	-0.04510	-0.01850	-0.00185	0.00436	0.01058	0.04419	-0.02167	-0.05923	0.00608	0.05371	-0.01255	0.00541	-0.00291	-0.02317	0.02337	0.02408	-0.02469	0.01926	0.03171	0.03529	-0.02011	0.05049	0.05228	(And (Agent $e0 $x0) (Member $e0 leave))
p201732	0.06867	-0.00383	-0.04987	-0.02500	0.06256	0.01320	-0.01671	0.01531	-0.05427	-0.03978	-0.02444	-0.02093	0.00765	0.03321	-0.03675	0.02205	0.03514	-0.03178	-0.04873	-0.00813	-0.01780	-0.01083	-0.01376	-0.07679	-0.00553	0.06163	-0.04880	0.03241	-0.06052	0.06809	-0.01768	0.05136	(And (Agent $e0 $x0) (Member $e0 play))
p201733	0.04234	0.00804	0.00818	-0.00381	0.00586	0.01656	-0.02734	-0.02157	0.00714	0.04177	0.02513	0.04310	-0.03772	0.02903	-0.03815	-0.01612	-0.01223	0.04099	-0.02335	-0.01806	0.01864	-0.00192	0.00264	-0.00212	0.03602	-0.02428	0.00289	-0.03764	-0.02317	0.02291	0.05183	0.06105	(And (Agent $e0 $x0) (Member $e0 watch))
p201734	-0.02268	-0.00659	-0.01213	-0.02164	-0.02923	-0.00053	-0.02069	-0.01426	-0.01659	0.01376	-0.02311	0.01167	0.02105	-0.01099	-0.00307	0.03174	0.01433	-0.01499	-0.00987	0.00389	-0.00025	0.01806	-0.01061	0.01496	0.00846	0.02478	0.01326	-0.01890	-0.01197	-0.01744	-0.00863	-0.00113	(And (Agent $e0 $x0) (Member $x0 boy))
