pattern_id	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	query
p200578	-0.06366	0.05097	-0.12334	-0.05807	0.02566	0.28759	0.03334	-0.08222	0.43954	0.07941	-0.01192	-0.03786	-0.14671	-0.02122	-0.00581	0.00737	(And (Past $e0) (Patient $e0 $x0) (Result $e0 $e1))
p200582	0.18480	0.07041	0.04051	0.10922	0.20062	-0.24989	0.17034	0.15529	0.13272	-0.11688	0.13713	0.02589	0.01318	-0.14680	-0.04901	0.11250	(And (Patient $e0 $x0) (Theme $e1 $e0))
p200586	-0.02725	-0.03865	-0.01342	0.02201	-0.02678	-0.00054	-0.00578	-0.00101	0.03711	0.05111	-0.02411	-0.02438	-0.02780	0.01053	0.00631	0.04784	(Member $e0 go)
p200611	-0.03108	-0.08814	0.15532	-0.08239	-0.06354	-0.02790	0.24321	-0.07425	-0.15139	0.01621	0.03526	0.17838	-0.02357	0.15329	-0.00609	-0.10876	(And (Experiencer $e0 $x0) (Ongoing $e0))
p200612	-0.00760	-0.03280	0.02264	-0.04659	0.05258	0.02872	-0.02402	-0.08583	0.05644	-0.00257	-0.01117	0.03208	-0.01246	-0.01182	-0.03639	0.01845	(And (Member $e0 make) (Patient $e0 $x0))
p200613	0.08608	-0.06372	0.05629	-0.04113	-0.01549	-0.00750	-0.03391	-0.07421	-0.00624	-0.02107	-0.03640	0.17720	-0.05366	0.02867	-0.08333	-0.03303	(And (Ongoing $e0) (Theme $e0 $x0))
p200617	-0.00904	-0.03439	0.03131	0.00654	-0.01879	-0.02210	0.00793	-0.00498	0.00532	0.01904	-0.03150	0.02060	-0.01961	0.01196	0.01256	0.00958	(For $e0 $x0)
p200651	0.03172	0.16143	-0.07260	-0.07374	-0.00885	0.11969	-0.07036	-0.05014	-0.08002	0.00718	0.27935	-0.06080	-0.09590	0.07184	0.01358	-0.02633	(And (Location $e0 $x0) (Theme $e0 $x1))
p200652	-0.04590	0.18776	-0.20481	0.09547	0.10596	-0.04044	0.04784	0.06041	-0.10037	-0.03774	0.09637	0.13127	-0.02923	0.03094	-0.04364	0.02979	(And (Member $e0 start) (Past $e0))
p200653	0.10843	0.14492	0.10372	-0.00910	-0.03253	0.00472	-0.03363	-0.10512	0.00630	0.00765	-0.03910	-0.03975	-0.11223	0.04769	-0.03403	-0.04371	(And (Possession $x0 $x1) (Theme $e0 $x0))
p200662	-0.01588	0.03974	0.09195	-0.05294	-0.00606	0.03105	-0.00190	-0.13987	0.03030	0.07170	-0.06521	-0.05358	-0.09403	0.03220	0.09189	0.08141	(Before $e0 $e1)
p200663	-0.01410	0.00369	0.01079	-0.00270	0.02542	0.02270	0.00746	-0.05053	0.04543	0.00332	-0.02320	-0.00500	-0.00186	-0.02212	-0.02736	-0.01188	(Member $x0 door)
p200664	-0.00244	0.00411	-0.02176	-0.01216	0.00107	0.05138	0.03311	-0.01296	0.06700	0.00110	-0.01171	0.00777	-0.02596	-0.00622	-0.00074	-0.01828	(Time $e0 now)
p200720	-0.06067	-0.03494	-0.13839	0.07623	-0.02525	0.05885	-0.00488	-0.00772	-0.05422	0.01474	0.00188	0.03100	0.04865	-0.01168	-0.05525	0.07660	(And (Agent $e0 $x0) (Goal $e0 $x1) (Past $e0))
p200727	-0.05068	-0.07570	0.11135	-0.10788	-0.08286	0.06259	0.20888	-0.05098	-0.18532	0.03752	0.19831	0.07774	-0.03383	0.16273	-0.00239	-0.09853	(And (Experiencer $e0 $x0) (Location $e0 $x1))
p200728	-0.05527	-0.05339	0.20374	0.09456	0.15241	0.14749	-0.09871	0.43749	-0.08796	-0.05808	-0.09109	-0.11856	-0.39295	0.42844	-0.21133	-0.07393	(And (Member $e0 build) (Patient $e0 $x0))
p200737	-0.05574	-0.05225	0.20327	0.09524	0.15354	0.14752	-0.09945	0.43239	-0.08743	-0.05867	-0.09139	-0.11874	-0.39441	0.42905	-0.20318	-0.07409	(Member $e0 build)
p200738	-0.03999	0.03972	-0.11285	-0.00317	0.01671	0.11925	-0.00290	-0.01084	0.12029	-0.00168	-0.00571	0.12125	-0.06269	0.02893	-0.05722	-0.03000	(Member $e0 get)
p200739	0.00049	-0.01397	0.01675	-0.04299	0.00367	0.01249	-0.01468	-0.05623	-0.03444	0.00781	-0.01570	0.00442	-0.05179	0.06629	-0.02877	0.05281	(Member $e0 play)
p200740	-0.02688	-0.11218	0.08654	0.03165	0.04003	0.10337	-0.05464	0.21240	-0.03868	-0.01701	-0.05548	-0.04200	-0.18567	0.21705	-0.04708	0.04379	(Member $x0 company)
